name,age,agecontract,ageoptout,optout,optoutyear,contractyr,contractvalue,contractlength,position,war1,war2,war3,war4,war5,war6,war7,war8,war9,war10,war11,war12,war13,war14,war15,war16
Robinson Cano,33.156,31.156,0,0,0,2014,240,10,1B,7.8,8.4,5.7,8.1,4.5,0.2,6.7,3.2,0.8,.,.,.,.,,,
Adrian Beltre,36.354,31.354,0,0,0,2011,96,5,3B,7.8,3.3,5.6,3.8,5.4,3.2,9.5,3.6,2,0.8,3.3,3.9,0.2,,,
Miguel Cabrera,32.343,32.343,0,0,0,2016,248,8,3B,5.2,5,7.3,7.2,7.5,6.4,5.1,2.7,3.2,5.8,5.2,3.4,0.6,,,
Joey Votto,32.198,30.198,0,0,0,2014,225,10,1B,6.6,5.9,6.3,6.9,4.8,3.3,0.1,.,.,.,.,.,.,,,
Evan Longoria,30.171,27.171,0,0,0,2013,135.6,10,3B,2.5,7.4,8.1,7,4.8,.,.,.,.,.,.,.,.,,,
Ben Zobrist,34.305,34.305,0,0,0,2016,56,4,3B,1.2,0.7,4.9,5,5.7,8.7,4.6,8.6,0.9,-1.1,-0.6,,,,,
Ian Kinsler,33.278,30.278,0,0,0,2013,85,5,2B,7.1,4,6,4.7,4.1,1.9,,,,,,,,,,
Dustin Pedroia,32.222,30.222,0,0,0,2014,110,8,2B,6.3,5.1,7.9,3.2,5.6,6.9,3.9,-0.8,,,,,,,,
Ryan Braun,32.13,30.13,0,0,0,2014,105,5,OF,2.1,6.9,7.8,5.7,6.2,4.5,2,,,,,,,,,
Troy Tulowitzki,31.168,26.168,0,0,0,2011,157.8,10,SS,6.7,6.5,0.8,6.8,-0.4,,,,,,,,,,,
Alex Gordon,32.045,32.045,0,0,0,2016,72,4,OF,2.8,6.6,4.2,6.3,7.2,-0.5,0.3,2.8,2,,,,,,,
Adrian Gonzalez,33.323,29.323,0,0,0,2012,154,7,1B,3,6.9,4.3,6.9,3.5,2.5,3,-0.6,-0.1,,,,,,,
Albert Pujols,36.07,32.07,0,0,0,2012,240,10,1B,5.3,7.5,9.7,9.2,8.7,8.4,8.4,8.5,8.6,5.5,6.6,,,,,
Buster Posey,28.365,25.365,0,0,0,2013,167,9,C,7.3,1.4,3.9,-0.1,,,,,,,,,,,,
Brett Gardner,32.215,31.215,0,0,0,2015,52,4,OF,4,4.4,0.2,4.1,7.3,2.3,1.3,,,,,,,,,
Yadier Molina,33.257,30.257,0,0,0,2013,75,5,C,6.9,2.8,3.1,3.1,1.3,2.1,-0.2,1.4,0.4,,,,,,,
Adam Jones,30.238,27.238,0,0,0,2013,85.5,6,OF,3.8,3,2.5,2.6,2,0.9,0,,,,,,,,,
Chase Headley,32.151,31.151,0,0,0,2015,52,4,3B,2.1,1.4,3.4,6.3,2.8,3.9,0.6,1,-0.2,,,,,,,
